Admission Tickets	U+1F39F
Hand With First And Second Fingers Crossed	U+1F91E
Fingers Crossed	U+1F91E
Good Luck	U+1F91E
Handbag	U+1F45C
Womens Bag	U+1F45C
Bag	U+1F45C
Handshake	U+1F91D
Shaking Hands	U+1F91D
Happy Person Raising One Hand	U+1F64B
Hand Up	U+1F64B
Answering Question	U+1F64B
Hatching Chick	U+1F423
Baby Chicken	U+1F423
Chick Hatching	U+1F423
Hear-No-Evil Monkey	U+1F649
Monkey Covering Ears	U+1F649
Kikazaru	U+1F649
Heart Decoration	U+1F49F
Heart With Arrow	U+1F498
Cupid Arrow	U+1F498
Lovestruck	U+1F498
Heart With Ribbon	U+1F49D
Chocolate Box	U+1F49D
Gift Box	U+1F49D
Gift Heart	U+1F49D
Heavy Black Heart	U+2764
Heart	U+2764
Love Heart	U+2764
Red Heart	U+2764
Heavy Check Mark	U+2714
Heavy Tick Mark	U+2714
Check	U+2714
Tick	U+2714
Heavy Division Sign	U+2797
Heavy Dollar Sign	U+1F4B2
Dollar Sign	U+1F4B2
Dollar	U+1F4B2
Heavy Exclamation Mark Symbol	U+2757
Heavy Heart Exclamation Mark Ornament	U+2763
Heart Above Dot	U+2763
Heavy Large Circle	U+2B55
Circle	U+2B55
Red Circle	U+2B55
Correct	U+2B55
Heavy Minus Sign	U+2796
Heavy Plus Sign	U+2795
Helicopter	U+1F681
Helmet With White Cross	U+26D1
Herb	U+1F33F
Plant	U+1F33F
Crop	U+1F33F
Hibiscus	U+1F33A
High Brightness Symbol	U+1F506
Increase Brightness	U+1F506
High-Heeled Shoe	U+1F460
High Heels	U+1F460
Stiletto	U+1F460
Womens Shoe	U+1F460
High-Speed Train With Bullet Nose	U+1F685
Shinkansen	U+1F685
Bullet Train	U+1F685
High-Speed Train	U+1F684
High Voltage Sign	U+26A1
Lightning Bolt	U+26A1
Thunderbolt	U+26A1
Hocho	U+1F52A
Kitchen Knife	U+1F52A
Knife	U+1F52A
Butchers Knife	U+1F52A
Hole	U+1F573
Honey Pot	U+1F36F
Honey	U+1F36F
Pot	U+1F36F
Honeybee	U+1F41D
Bee	U+1F41D
Bumble Bee	U+1F41D
Horizontal Traffic Light	U+1F6A5
Traffic Light	U+1F6A5
Horse Face	U+1F434
Horse Head	U+1F434
Horse Racing	U+1F3C7
Horse Race	U+1F3C7
Jockey	U+1F3C7
Horse	U+1F40E
Horse Racing	U+1F40E
Galloping Horse	U+1F40E
Year Of The Horse	U+1F40E
Hospital	U+1F3E5
Red Cross	U+1F3E5
Medical	U+1F3E5
Emergency Room	U+1F3E5
Hot Beverage	U+2615
Coffee	U+2615
Tea	U+2615
Hot Chocolate	U+2615
Hot Dog	U+1F32D
Hotdog	U+1F32D
Sausage	U+1F32D
Hot Pepper	U+1F336
Chili Pepper	U+1F336
Spicy	U+1F336
Hot Springs	U+2668
Onsen	U+2668
Steam	U+2668
Hotel	U+1F3E8
H Building	U+1F3E8
Accommodation	U+1F3E8
Hourglass With Flowing Sand	U+23F3
Hourglass	U+231B
House Building	U+1F3E0
Home	U+1F3E0
House Buildings	U+1F3D8
House With Garden	U+1F3E1
House And Tree	U+1F3E1
Hugging Face	U+1F917
Hug	U+1F917
Hugging	U+1F917
Hugs	U+1F917
Hundred Points Symbol	U+1F4AF
100	U+1F4AF
One Hundred	U+1F4AF
Perfect Score	U+1F4AF
Keep It 100	U+1F4AF
Hushed Face	U+1F62F
Surprise	U+1F62F
Surprised Face	U+1F62F
Ice Cream	U+1F368
Bowl Of Ice Cream	U+1F368
Dessert	U+1F368
Ice Hockey Stick and Puck	U+1F3D2
Ice Hockey	U+1F3D2
Ice Skate	U+26F8
Imp	U+1F47F
Sad Devil	U+1F47F
Purple Devil	U+1F47F
Devil	U+1F47F
Devil Horns	U+1F47F
Purple Goblin	U+1F47F
Incoming Envelope	U+1F4E8
Fast Envelope	U+1F4E8
Envelope With Lines	U+1F4E8
Information Desk Person	U+1F481
Sassy Girl	U+1F481
Concierge	U+1F481
Bellhop	U+1F481
Hair Flick	U+1F481
Information Source	U+2139
ℹ Info	U+2139
ℹ Lowercase I	U+2139
ℹ Tourist Information	U+2139
ℹ Help Icon	U+2139
Input Symbol for Latin Capital Letters	U+1F520
ABCD	U+1F520
Uppercase	U+1F520
Input Symbol for Latin Letters	U+1F524
ABC	U+1F524
Letters	U+1F524
Alphabet	U+1F524
Input Symbol for Latin Small Letters	U+1F521
ABCD	U+1F521
Lowercase	U+1F521
Input Symbol for Numbers	U+1F522
1234	U+1F522
Numbers	U+1F522
Numeric Input	U+1F522
Input Symbol for Symbols	U+1F523
Symbols	U+1F523
Symbol Input	U+1F523
Izakaya Lantern	U+1F3EE
Red Lantern	U+1F3EE
Japanese Lantern	U+1F3EE
Asian Lantern	U+1F3EE
Jack-O-Lantern	U+1F383
Pumpkin	U+1F383
Halloween	U+1F383
Japanese Castle	U+1F3EF
Fortress	U+1F3EF
Japanese Dolls	U+1F38E
Imperial Dolls	U+1F38E
Hinamatsuri	U+1F38E
Dolls	U+1F38E
Japanese Goblin	U+1F47A
Red Mask	U+1F47A
Long Nose Face	U+1F47A
Japanese Ogre	U+1F479
Scary Face	U+1F479
Scary	U+1F479
Red Monster	U+1F479
Oni	U+1F479
Japanese Post Office	U+1F3E3
Japan Post	U+1F3E3
Japanese Postal Mark	U+1F3E3
Japanese Symbol for Beginner	U+1F530
Shield	U+1F530
Shoshinsha Mark	U+1F530
Jeans	U+1F456
Denim	U+1F456
Trousers	U+1F456
Pants	U+1F456
Joystick	U+1F579
Juggling	U+1F939
Kaaba	U+1F54B
Mecca	U+1F54B
Keyboard	U+2328
Keycap Ten	U+1F51F
Number 10	U+1F51F
Kimono	U+1F458
Japanese Dress	U+1F458
Dressing Gown	U+1F458
Kiss Mark	U+1F48B
Kissing Lips	U+1F48B
Kiss	U+1F48F
Boy And Girl Kissing	U+1F48F
Man And Woman Kissing	U+1F48F
Couple Kissing	U+1F48F
Couple Love	U+1F48F
Kissing Cat Face With Closed Eyes	U+1F63D
Kissing Cat	U+1F63D
Kissing Face With Closed Eyes	U+1F61A
Kissy Face	U+1F61A
Kiss Face	U+1F61A
Kissing Face With Smiling Eyes	U+1F619
Kissy	U+1F619
Kiss Face	U+1F619
Whistling	U+1F619
Whistle	U+1F619
Kissing Face	U+1F617
Kissy Face	U+1F617
Whistling	U+1F617
Duck Face	U+1F617
Koala	U+1F428
Koala Bear	U+1F428
Australia	U+1F428
Drop Bear	U+1F428
Label	U+1F3F7
Lady Beetle	U+1F41E
Lady Bug	U+1F41E
Ladybug	U+1F41E
Ladybird	U+1F41E
Large Blue Circle	U+1F535
Large Blue Diamond	U+1F537
Large Orange Diamond	U+1F536
Large Red Circle	U+1F534
Last Quarter Moon With Face	U+1F31C
Latin Cross	U+271D
Christian Cross	U+271D
Leaf Fluttering in Wind	U+1F343
Green Leaves	U+1F343
Spring	U+1F343
Ledger	U+1F4D2
Yellow Book	U+1F4D2
Spiral Bound Book	U+1F4D2
Binder	U+1F4D2
Left-Facing Fist	U+1F91B
Left Fist Bump	U+1F91B
Left-Pointing Magnifying Glass	U+1F50D
Magnifying Glass	U+1F50D
Magnifier	U+1F50D
Search Icon	U+1F50D
Left Right Arrow	U+2194
Sideways Arrows	U+2194
Horizontal Arrows	U+2194
Left Speech Bubble	U+1F5E8
Leftwards Arrow With Hook	U+21A9
Email Reply	U+21A9
Left Curved Arrow	U+21A9
Leftwards Black Arrow	U+2B05
Left Arrow	U+2B05
Arrow Pointing Left	U+2B05
Lemon	U+1F34B
Lemonade	U+1F34B
Yellow Fruit	U+1F34B
Leo	U+264C
Leopard	U+1F406
African Leopard	U+1F406
Jaguar	U+1F406
Libra	U+264E
Light Rail	U+1F688
Link Symbol	U+1F517
Hyperlink	U+1F517
Chain	U+1F517
Linked Chain	U+1F517
Linked Paperclips	U+1F587
Lion Face	U+1F981
Cute Lion	U+1F981
Timid Lion	U+1F981
Lipstick	U+1F484
Makeup	U+1F484
Lip Gloss	U+1F484
Lock With Ink Pen	U+1F50F
Lock And Pen	U+1F50F
Lock With Fountain Pen	U+1F50F
Lock	U+1F512
Closed Lock	U+1F512
Padlock	U+1F512
Lollipop	U+1F36D
Lollypop	U+1F36D
Android Lollipop	U+1F36D
Loudly Crying Face	U+1F62D
Sad Tears	U+1F62D
Crying	U+1F62D
Bawling	U+1F62D
Sobbing	U+1F62D
Love Hotel	U+1F3E9
Love Heart Hotel	U+1F3E9
Heart Hospital	U+1F3E9
Love Letter	U+1F48C
Heart Envelope	U+1F48C
Love Note	U+1F48C
Low Brightness Symbol	U+1F505
Decrease Brightness	U+1F505
Lying Face	U+1F925
Pinocchio	U+1F925
Long Nose	U+1F925
Liar	U+1F925
Mahjong Tile Red Dragon	U+1F004
Mahjong	U+1F004
Mahjong Tile	U+1F004
中	U+1F004
Man and Woman Holding Hands	U+1F46B
Holding Hands	U+1F46B
Heterosexual Couple	U+1F46B
Straight Couple	U+1F46B
Man Dancing	U+1F57A
Male Dancer	U+1F57A
Disco Dancer	U+1F57A
Man in Business Suit Levitating	U+1F574
Walt Jabsco	U+1F574
Hovering Man	U+1F574
Man In Tuxedo	U+1F935
Groom	U+1F935
Man In Suit	U+1F935
Man With Gua Pi Mao	U+1F472
Asian Man	U+1F472
Man With Turban	U+1F473
Turban	U+1F473
Arab	U+1F473
Muslim	U+1F473
Sikh	U+1F473
Man	U+1F468
Male	U+1F468
Moustache Man	U+1F468
Mans Shoe	U+1F45E
Shoe	U+1F45E
Brown Shoe	U+1F45E
Mantelpiece Clock	U+1F570
Maple Leaf	U+1F341
Maple	U+1F341
Canada	U+1F341
Canadian	U+1F341
Meat on Bone	U+1F356
Ano Niku	U+1F356
Manga Meat	U+1F356
BBQ	U+1F356
Barbecue	U+1F356
Medium Black Circle	U+26AB
Medium White Circle	U+26AA
Melon	U+1F348
Cantaloupe Emoiji	U+1F348
Rockmelon	U+1F348
Honeydew	U+1F348
Memo	U+1F4DD
Memorandum	U+1F4DD
Note	U+1F4DD
Pencil And Paper	U+1F4DD
Menorah With Nine Branches	U+1F54E
Menorah	U+1F54E
Chanukiah	U+1F54E
Candles	U+1F54E
Candelabrum	U+1F54E
Mens Symbol	U+1F6B9
Mens Toilet	U+1F6B9
Male Restroom	U+1F6B9
Metro	U+1F687
Subway	U+1F687
Train	U+1F687
Underground	U+1F687
Microphone	U+1F3A4
Singing	U+1F3A4
Karaoke	U+1F3A4
Microscope	U+1F52C
Magnify	U+1F52C
Science	U+1F52C
Military Medal	U+1F396
Medal	U+1F396
Medallion	U+1F396
Military Decoration	U+1F396
Milky Way	U+1F30C
Galaxy	U+1F30C
Space	U+1F30C
Stars	U+1F30C
Night Sky	U+1F30C
Universe	U+1F30C
Minibus	U+1F690
Minivan	U+1F690
PeopleMover	U+1F690
Minidisc	U+1F4BD
Mobile Phone Off	U+1F4F4
Mobile Phone With Rightwards Arrow at Left	U+1F4F2
Phone Call	U+1F4F2
Phone With Arrow	U+1F4F2
Pointing To Phone	U+1F4F2
Mobile Phone	U+1F4F1
iPhone	U+1F4F1
Cell Phone	U+1F4F1
Smartphone	U+1F4F1
Android	U+1F4F1
Money Bag	U+1F4B0
Moneybags	U+1F4B0
Rich	U+1F4B0
Money-Mouth Face	U+1F911
Money Face	U+1F911
Rich	U+1F911
Dollar Sign Eyes	U+1F911
Money With Wings	U+1F4B8
Flying Money	U+1F4B8
Losing Money	U+1F4B8
Monkey Face	U+1F435
Monkey Head	U+1F435
Monkey	U+1F412
Cheeky Monkey	U+1F412
Monorail	U+1F69D
Moon Viewing Ceremony	U+1F391
Tsukimi	U+1F391
Grass	U+1F391
Dumplings and Moon	U+1F391
Harvest Moon	U+1F391
MidAutumn Festival	U+1F391
Mosque	U+1F54C
Minaret	U+1F54C
Domed Roof	U+1F54C
Mother Christmas	U+1F936
Mrs Claus	U+1F936
Motor Scooter	U+1F6F5
Motor Bike	U+1F6F5
Motor Cycle	U+1F6F5
Vespa	U+1F6F5
Motorway	U+1F6E3
Interstate	U+1F6E3
Road	U+1F6E3
Highway	U+1F6E3
Mount Fuji	U+1F5FB
Fujisan	U+1F5FB
Snowcapped Mountain	U+1F5FB
Mountain Bicyclist	U+1F6B5
Person On Bike	U+1F6B5
Mountain Bike	U+1F6B5
Mountain Cableway	U+1F6A0
Mountain Railway	U+1F69E
Train And Mountain	U+1F69E
Funicular	U+1F69E
Mountain	U+26F0
Mouse Face	U+1F42D
Mouse	U+1F42D
Mouse With Whiskers	U+1F42D
Mouse	U+1F401
Mice	U+1F401
Rodent	U+1F401
Dormouse	U+1F401
Mouth	U+1F444
Kissing Lips	U+1F444
Speaking	U+1F444
Lips	U+1F444
Movie Camera	U+1F3A5
Film Camera	U+1F3A5
Hollywood	U+1F3A5
Movie	U+1F3A5
Moyai	U+1F5FF
Moyai Statue	U+1F5FF
Moai	U+1F5FF
Easter Island	U+1F5FF
Human Rock Carving	U+1F5FF
Multiple Musical Notes	U+1F3B6
Music Notes	U+1F3B6
Singing	U+1F3B6
Music	U+1F3B6
Mushroom	U+1F344
Toadstool	U+1F344
Shroom	U+1F344
Musical Keyboard	U+1F3B9
Piano	U+1F3B9
Musical Note	U+1F3B5
Music Note	U+1F3B5
Beamed Pair Of Eighth Notes	U+1F3B5
Beamed Pair Of Quavers	U+1F3B5
Musical Score	U+1F3BC
Sheet Music	U+1F3BC
Treble Clef	U+1F3BC
Nail Polish	U+1F485
Manicure	U+1F485
Beauty	U+1F485
Nails	U+1F485
Name Badge	U+1F4DB
Tofu On Fire	U+1F4DB
Name Tag	U+1F4DB
Fire Tag	U+1F4DB
National Park	U+1F3DE
Nauseated Face	U+1F922
Green Face	U+1F922
Vomit	U+1F922
Sick	U+1F922
Necktie	U+1F454
Shirt And Tie	U+1F454
Business Shirt	U+1F454
Tie	U+1F454
Negative Squared AB	U+1F18E
Blood Type AB	U+1F18E
Negative Squared Cross Mark	U+274E
Cross	U+274E
X	U+274E
Negative Squared Latin Capital Letter A	U+1F170
Blood Type A	U+1F170
Negative Squared Latin Capital Letter B	U+1F171
Blood Type B	U+1F171
Negative Squared Latin Capital Letter O	U+1F17E
Blood Type O	U+1F17E
Negative Squared Latin Capital Letter P	U+1F17F
Nerd Face	U+1F913
Nerdy	U+1F913
Neutral Face	U+1F610
Straight Faced	U+1F610
Face With Straight Mouth	U+1F610
New Moon Symbol	U+1F311
Dark Moon	U+1F311
Shadow Moon	U+1F311
Solar Eclipse	U+1F311
New Moon With Face	U+1F31A
Dark Moon Face	U+1F31A
Creepy Moon	U+1F31A
Molester Moon	U+1F31A
Newspaper	U+1F4F0
News	U+1F4F0
Apple Times	U+1F4F0
Front Page	U+1F4F0
Night With Stars	U+1F303
City At Night	U+1F303
Starry Night	U+1F303
No Bicycles	U+1F6B3
No Bikes Sign	U+1F6B3
No Entry Sign	U+1F6AB
No	U+1F6AB
Red Circle Crossed	U+1F6AB
Banned	U+1F6AB
Restriction	U+1F6AB
No Entry	U+26D4
No Mobile Phones	U+1F4F5
No Phones	U+1F4F5
No Smartphones	U+1F4F5
No Cell Phones	U+1F4F5
No One Under Eighteen Symbol	U+1F51E
No Pedestrians	U+1F6B7
No People	U+1F6B7
No Walking	U+1F6B7
No Smoking Symbol	U+1F6AD
Non-Potable Water Symbol	U+1F6B1
No Water	U+1F6B1
No Drinking Water	U+1F6B1
North East Arrow	U+2197
Diagonal UpRight Arrow	U+2197
North West Arrow	U+2196
Diagonal UpLeft Arrow	U+2196
Nose	U+1F443
Smelling	U+1F443
Stinky	U+1F443
Sniffing	U+1F443
Notebook With Decorative Cover	U+1F4D4
Notebook	U+1F4D3
Black And White Book	U+1F4D3
Nut and Bolt	U+1F529
Screw	U+1F529
Bolt	U+1F529
Octagonal Sign	U+1F6D1
Stop Sign	U+1F6D1
Octopus	U+1F419
Squid	U+1F419
Oden	U+1F362
Skewer	U+1F362
Kebab	U+1F362
Office Building	U+1F3E2
HighRise Building	U+1F3E2
City Building	U+1F3E2
Oil Drum	U+1F6E2
OK Hand Sign	U+1F44C
Okay	U+1F44C
Perfect	U+1F44C
Older Man	U+1F474
Old Man	U+1F474
Elderly Man	U+1F474
Grandpa	U+1F474
Older Woman	U+1F475
Old Lady	U+1F475
Elderly Woman	U+1F475
Grandma	U+1F475
Nanna	U+1F475
Om Symbol	U+1F549
Pranava	U+1F549
Aumkara	U+1F549
Omkara	U+1F549
On With Exclamation Mark With Left Right Arrow Above	U+1F51B
On	U+1F51B
Oncoming Automobile	U+1F698
Front Of Car	U+1F698
Car Hood	U+1F698
Car Bonnet	U+1F698
Oncoming Bus	U+1F68D
Front Of Bus	U+1F68D
Oncoming Police Car	U+1F694
Cop Car	U+1F694
Front Of Police Car	U+1F694
Oncoming Taxi	U+1F696
Taxicab	U+1F696
Front Of Taxi	U+1F696
Open Book	U+1F4D6
Book	U+1F4D6
Novel	U+1F4D6
Open File Folder	U+1F4C2
Open Folder	U+1F4C2
Open Hands Sign	U+1F450
Hug	U+1F450
Jazz Hands	U+1F450
Open Lock	U+1F513
Open Padlock	U+1F513
Unlock	U+1F513
Open Mailbox With Lowered Flag	U+1F4ED
Open Mailbox With Raised Flag	U+1F4EC
Open Mailbox	U+1F4EC
Ophiuchus	U+26CE
Optical Disc	U+1F4BF
CD	U+1F4BF
Compact Disc	U+1F4BF
CD ROM	U+1F4BF
Orange Book	U+1F4D9
Orthodox Cross	U+2626
Outbox Tray	U+1F4E4
Outbox	U+1F4E4
Owl	U+1F989
Ox	U+1F402
Oxen	U+1F402
Bullock	U+1F402
Page Facing Up	U+1F4C4
Printed Page	U+1F4C4
Page With Curl	U+1F4C3
Curled Page	U+1F4C3
Curly Page	U+1F4C3
Pager	U+1F4DF
Beeper	U+1F4DF
Bleeper	U+1F4DF
Palm Tree	U+1F334
Tropical Island	U+1F334
Coconut Tree	U+1F334
Survivor	U+1F334
Panda Face	U+1F43C
Paperclip	U+1F4CE
Clippy	U+1F4CE
Part Alternation Mark	U+303D
McDonalds	U+303D
M	U+303D
Party Popper	U+1F389
Party	U+1F389
Celebration	U+1F389
Passport Control	U+1F6C2
Border Control	U+1F6C2
Paw Prints	U+1F43E
Dog Paw Prints	U+1F43E
Puppy Paw Prints	U+1F43E
Cat Paw Prints	U+1F43E
Kitten Paw Prints	U+1F43E
Peace Symbol	U+262E
Peace Sign	U+262E
Peach	U+1F351
Butt	U+1F351
Pear	U+1F350
Pedestrian	U+1F6B6
Walking	U+1F6B6
Walker	U+1F6B6
Pencil	U+270F
Lead Pencil	U+270F
Penguin	U+1F427
Little Penguin	U+1F427
Cute Penguin	U+1F427
Socially Awkward Penguin	U+1F427
Pensive Face	U+1F614
Pensive	U+1F614
Sadface	U+1F614
Sad	U+1F614
Sorrowful	U+1F614
Persevering Face	U+1F623
Scrunched Eyes	U+1F623
Helpless Face	U+1F623
Person Bowing Deeply	U+1F647
Bowing Man	U+1F647
Dogeza	U+1F647
Cute Boy	U+1F647
Massage	U+1F647
Person Frowning	U+1F64D
Woman Frowning	U+1F64D
Sad Person	U+1F64D
Person Raising Both Hands in Celebration	U+1F64C
Hallelujah	U+1F64C
Magic	U+1F64C
Praise Hands	U+1F64C
Festivus Miracle	U+1F64C
Two Hands	U+1F64C
Person With Ball	U+26F9
Person With Blond Hair	U+1F471
Blond Man	U+1F471
Blond	U+1F471
Blonde	U+1F471
Person With Folded Hands	U+1F64F
Please	U+1F64F
Thank You	U+1F64F
Praying Hands	U+1F64F
High Five	U+1F64F
Person With Pouting Face	U+1F64E
Fed Up	U+1F64E
Blank Look	U+1F64E
Personal Computer	U+1F4BB
MacBook	U+1F4BB
Notebook	U+1F4BB
Laptop	U+1F4BB
PC	U+1F4BB
Pig Face	U+1F437
Pig Head	U+1F437
Pig Nose	U+1F43D
Pig Snout	U+1F43D
Pig	U+1F416
Sow	U+1F416
Pile of Poo	U+1F4A9
Smiling Poop	U+1F4A9
Pill	U+1F48A
Tablet	U+1F48A
Capsule	U+1F48A
Drugs	U+1F48A
Pine Decoration	U+1F38D
Bamboo	U+1F38D
Kadomatsu	U+1F38D
New Year Decoration	U+1F38D
Pineapple	U+1F34D
Pisces	U+2653
Pistol	U+1F52B
Gun	U+1F52B
Revolver	U+1F52B
Place of Worship	U+1F6D0
Religious Building	U+1F6D0
Playing Card Black Joker	U+1F0CF
Joker	U+1F0CF
Joker Card	U+1F0CF
Police Car	U+1F693
Cop Car	U+1F693
Side Of Police Car	U+1F693
Police Cars Revolving Light	U+1F6A8
Siren	U+1F6A8
Police Siren	U+1F6A8
Flashing Light	U+1F6A8
Emergency Light	U+1F6A8
Police Officer	U+1F46E
Policeman	U+1F46E
Police	U+1F46E
Cop	U+1F46E
Policewoman	U+1F46E
Poodle	U+1F429
Toy Poodle	U+1F429
Miniature Poodle	U+1F429
Standard Poodle	U+1F429
Popcorn	U+1F37F
Popping Corn	U+1F37F
Postal Horn	U+1F4EF
French Horn	U+1F4EF
Bugle	U+1F4EF
Postbox	U+1F4EE
Pot of Food	U+1F372
Bowl Of Food	U+1F372
Potable Water Symbol	U+1F6B0
Potato	U+1F954
Baked Potato	U+1F954
Regular Potato	U+1F954
Pouch	U+1F45D
Clutch	U+1F45D
Small Bag	U+1F45D
Poultry Leg	U+1F357
Turkey Leg	U+1F357
Chicken Drumstick	U+1F357
Pouting Cat Face	U+1F63E
Grumpy Cat	U+1F63E
Pouting Face	U+1F621
Red Face	U+1F621
Grumpy Face	U+1F621
Angry Face	U+1F621
Mad Face	U+1F621
Prayer Beads	U+1F4FF
Rosary Beads	U+1F4FF
Dhikr Beads	U+1F4FF
Pregnant Woman	U+1F930
Pregnant Lady	U+1F930
Pregnancy	U+1F930
Prince	U+1F934
Princess	U+1F478
Blonde Girl	U+1F478
Girl With Tiara	U+1F478
Girl With Crown	U+1F478
Printer	U+1F5A8
Public Address Loudspeaker	U+1F4E2
PA System	U+1F4E2
Announcement	U+1F4E2
Purple Heart	U+1F49C
Purse	U+1F45B
Wallet	U+1F45B
Pushpin	U+1F4CC
Thumb Tack	U+1F4CC
Put Litter in Its Place Symbol	U+1F6AE
Person With Trash	U+1F6AE
Put Litter In Trash	U+1F6AE
Rabbit Face	U+1F430
Bunny Rabbit	U+1F430
Easter Bunny	U+1F430
Bugs Bunny	U+1F430
Rabbit	U+1F407
Bunny Rabbit	U+1F407
Bunny	U+1F407
Racing Car	U+1F3CE
F1	U+1F3CE
Formula One	U+1F3CE
Racing Motorcycle	U+1F3CD
Motorbike	U+1F3CD
Motorcycle	U+1F3CD
Radio	U+1F4FB
Digital Radio	U+1F4FB
Wireless	U+1F4FB
Radioactive Sign	U+2622
Railway Car	U+1F683
Railcar	U+1F683
Railroad Car	U+1F683
Railway Wagon	U+1F683
Railway Carriage	U+1F683
Railway Track	U+1F6E4
Rainbow	U+1F308
Primary Rainbow	U+1F308
Gay Pride	U+1F308
Raised Back Of Hand	U+1F91A
Backhand	U+1F91A
Raised Fist	U+270A
Fist Pump	U+270A
Raised Hand With Fingers Splayed	U+1F590
Five Hand	U+1F590
Splayed Hand	U+1F590
Raised Hand With Part Between Middle and Ring Fingers	U+1F596
Vulcan Salute	U+1F596
Spock	U+1F596
Star Trek	U+1F596
Raised Hand	U+270B
High Five	U+270B
Stop	U+270B
Ram	U+1F40F
Camera With Flash	U+1F4F8
Rat	U+1F400
Grey Rat	U+1F400
Rodent	U+1F400
Recreational Vehicle	U+1F699
RV	U+1F699
Campervan	U+1F699
Motorhome	U+1F699
Red Apple	U+1F34E
Red Delicious Apple	U+1F34E
Empire Apple	U+1F34E
Gala Apple	U+1F34E
Regional Indicator Symbol Let­ter E	U+1F1EA
Regional Indicator Symbol Let­ter G	U+1F1EC
Regional Indicator Symbol Let­ter I	U+1F1EE
Regional Indicator Symbol Let­ter J	U+1F1EF
Regional Indicator Symbol Let­ter L	U+1F1F1
Regional Indicator Symbol Let­ter N	U+1F1F3
Regional Indicator Symbol Let­ter O	U+1F1F4
Regional Indicator Symbol Let­ter P	U+1F1F5
Regional Indicator Symbol Let­ter Q	U+1F1F6
Regional Indicator Symbol Let­ter S	U+1F1F8
Regional Indicator Symbol Let­ter U	U+1F1FA
Regional Indicator Symbol Let­ter V	U+1F1FB
Regional Indicator Symbol Let­ter W	U+1F1FC
Regional Indicator Symbol Let­ter X	U+1F1FD
Regional Indicator Symbol Let­ter Z	U+1F1FF
Registered Sign	U+AE
Relieved Face	U+1F60C
Pleased	U+1F60C
Content	U+1F60C
Reminder Ribbon	U+1F397
Restroom	U+1F6BB
Toilet Sign	U+1F6BB
Bathroom Sign	U+1F6BB
Reversed Hand With Middle Finger Extended	U+1F595
Middle Finger	U+1F595
Rude Finger	U+1F595
Flipping The Bird	U+1F595
Dito Medio	U+1F595
Revolving Hearts	U+1F49E
Two Hearts	U+1F49E
Rhinoceros	U+1F98F
Ribbon	U+1F380
Bow	U+1F380
Pink Bow	U+1F380
Rice Ball	U+1F359
Nori	U+1F359
Triangle Rice	U+1F359
Rice Cracker	U+1F358
Right Anger Bubble	U+1F5EF
Zig Zag Bubble	U+1F5EF
Right-Facing Fist	U+1F91C
Right Fist Bump	U+1F91C
Right-Pointing Magnifying Glass	U+1F50E
Magnifying Glass	U+1F50E
Magnifier	U+1F50E
Search Icon	U+1F50E
Rightwards Arrow With Hook	U+21AA
Email Forward	U+21AA
Right Curved Arrow	U+21AA
Ring	U+1F48D
Engagement Ring	U+1F48D
Diamond Ring	U+1F48D
Roasted Sweet Potato	U+1F360
Sweet Potato	U+1F360
Potato	U+1F360
Yam	U+1F360
Robot Face	U+1F916
Robot	U+1F916
Rocket	U+1F680
Space Shuttle	U+1F680
Rocket Ship	U+1F680
Rolled-Up Newspaper	U+1F5DE
Newspaper Delivery	U+1F5DE
Roller Coaster	U+1F3A2
Rollercoaster	U+1F3A2
Theme Park	U+1F3A2
Rolling On The Floor Laughing	U+1F923
ROFL	U+1F923
Rooster	U+1F413
Cock	U+1F413
Cockerel	U+1F413
Rose	U+1F339
Red Flower	U+1F339
Red Rose	U+1F339
Rosette	U+1F3F5
Round Pushpin	U+1F4CD
Pin	U+1F4CD
Dropped Pin	U+1F4CD
Map Pin	U+1F4CD
Red Pin	U+1F4CD
Rowboat	U+1F6A3
Rowing	U+1F6A3
Boat With Paddles	U+1F6A3
Rugby Football	U+1F3C9
Rugby	U+1F3C9
Union	U+1F3C9
League	U+1F3C9
Football	U+1F3C9
Runner	U+1F3C3
Run	U+1F3C3
Jogging	U+1F3C3
Running Shirt With Sash	U+1F3BD
Singlet	U+1F3BD
Running Shirt	U+1F3BD
Sagittarius	U+2650
Sake Bottle and Cup	U+1F376
Bottle	U+1F376
Rice Wine	U+1F376
Saxophone	U+1F3B7
Sax	U+1F3B7
Jazz	U+1F3B7
Scales	U+2696
Scales of Justice	U+2696
School Satchel	U+1F392
School Bag	U+1F392
Backpack	U+1F392
Bag	U+1F392
School	U+1F3EB
Elementary School	U+1F3EB
Middle School	U+1F3EB
High School	U+1F3EB
Clock Tower	U+1F3EB
Scooter	U+1F6F4
Scorpion	U+1F982
Scorpius	U+264F
Scorpio	U+264F
Scroll	U+1F4DC
Degree	U+1F4DC
Parchment	U+1F4DC
See-No-Evil Monkey	U+1F648
Monkey Covering Eyes	U+1F648
Cheeky Monkey	U+1F648
Seedling	U+1F331
Sprout	U+1F331
Sprouting	U+1F331
Spring	U+1F331
Selfie	U+1F933
Phone Camera	U+1F933
Selfie Hand	U+1F933
Shallow Pan Of Food	U+1F958
Shamrock	U+2618
Shark	U+1F988
Jaws	U+1F988
Shaved Ice	U+1F367
Snow Cone	U+1F367
Sheep	U+1F411
Lamb	U+1F411
Ewe	U+1F411
Shibuya	U+E50A
Boutique 109	U+E50A
Shibuya 109	U+E50A
